"المنصة","المسار","الملف","الدور","الإجراءات","حالة التحقق","الدليل"
"API","/api/admin/courses/[slug]","app/api/admin/courses/[slug]/route.ts","مدير حسب صلاحيات الإجراء","GET","تحقق حي لسيناريوهات محددة","admin-report.md وadmin-live-data/security/store-controls.json"
"API","/api/admin/covers","app/api/admin/covers/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/files/scan","app/api/admin/files/scan/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","اختبارات ملفات حية لعينة من حالات الصلاحيات والفحص","file-services-live.json؛ لا يشمل توليد AI الخارجي"
"API","/api/admin/finance","app/api/admin/finance/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/learning-tracks","app/api/admin/learning-tracks/route.ts","مدير حسب صلاحيات الإجراء","GET,POST,PATCH","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/lifecycle/dispatch","app/api/admin/lifecycle/dispatch/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/logos","app/api/admin/logos/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/notifications/dispatch","app/api/admin/notifications/dispatch/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/operations/summary","app/api/admin/operations/summary/route.ts","مدير حسب صلاحيات الإجراء","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/partners","app/api/admin/partners/route.ts","مدير حسب صلاحيات الإجراء","GET,POST,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/purchases","app/api/admin/purchases/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","اختبارات منطق وPostgreSQL ببيانات مزود اصطناعية؛ شراء المتجر الفعلي معلق","store-integration.json وmobile/tests/store-purchases.test.mjs"
"API","/api/admin/referrals","app/api/admin/referrals/route.ts","مدير حسب صلاحيات الإجراء","GET,POST,PATCH","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/refunds","app/api/admin/refunds/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/security/mfa","app/api/admin/security/mfa/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/seo","app/api/admin/seo/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/settlements","app/api/admin/settlements/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/staff","app/api/admin/staff/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/students/[email]/devices","app/api/admin/students/[email]/devices/route.ts","مدير حسب صلاحيات الإجراء","GET,DELETE","تحقق حي لسيناريوهات محددة","admin-report.md وadmin-live-data/security/store-controls.json"
"API","/api/admin/students/[email]","app/api/admin/students/[email]/route.ts","مدير حسب صلاحيات الإجراء","GET","تحقق حي لسيناريوهات محددة","admin-report.md وadmin-live-data/security/store-controls.json"
"API","/api/admin/support/metrics","app/api/admin/support/metrics/route.ts","مدير حسب صلاحيات الإجراء","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/videos/process","app/api/admin/videos/process/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/videos","app/api/admin/videos/route.ts","مدير حسب صلاحيات الإجراء","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/conversations","app/api/ai/conversations/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/conversations/[id]/messages","app/api/ai/conversations/[id]/messages/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/conversations/[id]","app/api/ai/conversations/[id]/route.ts","حسب حماية الصفحة/الخدمة","GET,PATCH,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/files","app/api/ai/files/route.ts","حسب حماية الصفحة/الخدمة","POST","اختبارات ملفات حية لعينة من حالات الصلاحيات والفحص","file-services-live.json؛ لا يشمل توليد AI الخارجي"
"API","/api/ai/files/[id]/actions","app/api/ai/files/[id]/actions/route.ts","حسب حماية الصفحة/الخدمة","POST","اختبارات ملفات حية لعينة من حالات الصلاحيات والفحص","file-services-live.json؛ لا يشمل توليد AI الخارجي"
"API","/api/ai/quizzes/[id]/attempts","app/api/ai/quizzes/[id]/attempts/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/quizzes/[id]","app/api/ai/quizzes/[id]/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/status","app/api/ai/status/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ai/subscription/checkout","app/api/ai/subscription/checkout/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/analytics","app/api/analytics/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/assistant","app/api/assistant/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/device","app/api/auth/device/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/email-verification","app/api/auth/email-verification/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/forgot-password","app/api/auth/forgot-password/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/login","app/api/auth/login/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/logout","app/api/auth/logout/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/me","app/api/auth/me/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/oauth/exchange","app/api/auth/oauth/exchange/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/oauth/providers","app/api/auth/oauth/providers/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/oauth/[provider]/callback","app/api/auth/oauth/[provider]/callback/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/oauth/[provider]/start","app/api/auth/oauth/[provider]/start/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/register","app/api/auth/register/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/auth/reset-password","app/api/auth/reset-password/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/cart","app/api/cart/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/catalog/programs","app/api/catalog/programs/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/catalog/search","app/api/catalog/search/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/checkout","app/api/checkout/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/coupons/validate","app/api/coupons/validate/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/course-requests/files/[fileId]","app/api/course-requests/files/[fileId]/route.ts","حسب حماية الصفحة/الخدمة","GET","اختبارات ملفات حية لعينة من حالات الصلاحيات والفحص","file-services-live.json؛ لا يشمل توليد AI الخارجي"
"API","/api/course-requests","app/api/course-requests/route.ts","حسب حماية الصفحة/الخدمة","POST,GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/course-requests/[id]/files","app/api/course-requests/[id]/files/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/course-resources","app/api/course-resources/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/course-resources/[id]","app/api/course-resources/[id]/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/covers/[slug]","app/api/covers/[slug]/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/favorites","app/api/favorites/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/health","app/api/health/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/invoices/[orderNumber]/download","app/api/invoices/[orderNumber]/download/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/learning-tracks/interest","app/api/learning-tracks/interest/route.ts","حسب حماية الصفحة/الخدمة","GET,POST,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/logos/[slug]","app/api/logos/[slug]/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/account","app/api/mobile/account/route.ts","حسب حماية الصفحة/الخدمة","DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/auth/login","app/api/mobile/auth/login/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/auth/logout","app/api/mobile/auth/logout/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/auth/register","app/api/mobile/auth/register/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/catalog","app/api/mobile/catalog/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/dashboard","app/api/mobile/dashboard/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/favorites","app/api/mobile/favorites/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/notes","app/api/mobile/notes/route.ts","حسب حماية الصفحة/الخدمة","GET,POST,PATCH,DELETE,PUT","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/notifications","app/api/mobile/notifications/route.ts","حسب حماية الصفحة/الخدمة","GET,PATCH","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/mobile/purchases/catalog","app/api/mobile/purchases/catalog/route.ts","حسب حماية الصفحة/الخدمة","GET","اختبارات منطق وPostgreSQL ببيانات مزود اصطناعية؛ شراء المتجر الفعلي معلق","store-integration.json وmobile/tests/store-purchases.test.mjs"
"API","/api/mobile/purchases/history","app/api/mobile/purchases/history/route.ts","حسب حماية الصفحة/الخدمة","GET","اختبارات منطق وPostgreSQL ببيانات مزود اصطناعية؛ شراء المتجر الفعلي معلق","store-integration.json وmobile/tests/store-purchases.test.mjs"
"API","/api/mobile/purchases/sync","app/api/mobile/purchases/sync/route.ts","حسب حماية الصفحة/الخدمة","POST","اختبارات منطق وPostgreSQL ببيانات مزود اصطناعية؛ شراء المتجر الفعلي معلق","store-integration.json وmobile/tests/store-purchases.test.mjs"
"API","/api/mobile/push","app/api/mobile/push/route.ts","حسب حماية الصفحة/الخدمة","POST,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/ping","app/api/ping/route.ts","حسب حماية الصفحة/الخدمة","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/profile/onboarding","app/api/profile/onboarding/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/profile/password","app/api/profile/password/route.ts","حسب حماية الصفحة/الخدمة","POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/profile","app/api/profile/route.ts","حسب حماية الصفحة/الخدمة","GET,PATCH","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/profile/sessions","app/api/profile/sessions/route.ts","حسب حماية الصفحة/الخدمة","GET,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/progress","app/api/progress/route.ts","حسب حماية الصفحة/الخدمة","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
